Accession,Pangolin,Protein,Length,Country,Collection_Date,Year,Month,Day
QPV04419,B.1.1,envelope protein,75,Chile,2020-04-23,2020,4,23
QPV04420,B.1.1,membrane glycoprotein,222,Chile,2020-04-23,2020,4,23
QPV04421,B.1.1,ORF6 protein,61,Chile,2020-04-23,2020,4,23
QPV04422,B.1.1,ORF7a protein,121,Chile,2020-04-23,2020,4,23
QPV04423,B.1.1,ORF7b protein,43,Chile,2020-04-23,2020,4,23
QPV04424,B.1.1,ORF8 protein,121,Chile,2020-04-23,2020,4,23
QPV04425,B.1.1,nucleocapsid phosphoprotein,419,Chile,2020-04-23,2020,4,23
QPV04426,B.1.1,ORF10 protein,38,Chile,2020-04-23,2020,4,23
QPV04439,B.1.415,ORF1ab polyprotein,7096,Chile,2020-03-16,2020,3,16
QPV04440,B.1.415,ORF1a polyprotein,4405,Chile,2020-03-16,2020,3,16
QPV04441,B.1.415,surface glycoprotein,1273,Chile,2020-03-16,2020,3,16
QPV04442,B.1.415,ORF3a protein,275,Chile,2020-03-16,2020,3,16
QPV04443,B.1.415,envelope protein,75,Chile,2020-03-16,2020,3,16
QPV04444,B.1.415,membrane glycoprotein,222,Chile,2020-03-16,2020,3,16
QPV04445,B.1.415,ORF6 protein,61,Chile,2020-03-16,2020,3,16
QPV04446,B.1.415,ORF7a protein,121,Chile,2020-03-16,2020,3,16
QPV04447,B.1.415,ORF7b protein,43,Chile,2020-03-16,2020,3,16
QPV04448,B.1.415,ORF8 protein,121,Chile,2020-03-16,2020,3,16
QPV04449,B.1.415,nucleocapsid phosphoprotein,419,Chile,2020-03-16,2020,3,16
QPV04450,B.1.415,ORF10 protein,38,Chile,2020-03-16,2020,3,16
QPV04463,B.1,ORF1ab polyprotein,7096,Chile,2020-05-06,2020,5,6
QPV04464,B.1,ORF1a polyprotein,4405,Chile,2020-05-06,2020,5,6
QPV04465,B.1,surface glycoprotein,1273,Chile,2020-05-06,2020,5,6
QPV04466,B.1,ORF3a protein,275,Chile,2020-05-06,2020,5,6
QPV04467,B.1,envelope protein,75,Chile,2020-05-06,2020,5,6
QPV04468,B.1,membrane glycoprotein,222,Chile,2020-05-06,2020,5,6
QPV04469,B.1,ORF6 protein,61,Chile,2020-05-06,2020,5,6
QPV04470,B.1,ORF7a protein,121,Chile,2020-05-06,2020,5,6
QPV04471,B.1,ORF7b protein,43,Chile,2020-05-06,2020,5,6
QPV04472,B.1,ORF8 protein,121,Chile,2020-05-06,2020,5,6
QPV04473,B.1,nucleocapsid phosphoprotein,419,Chile,2020-05-06,2020,5,6
QPV04474,B.1,ORF10 protein,38,Chile,2020-05-06,2020,5,6
QPV04475,B.1,ORF1ab polyprotein,7096,Chile,2020-04-30,2020,4,30
QPV04476,B.1,ORF1a polyprotein,4405,Chile,2020-04-30,2020,4,30
QPV04477,B.1,surface glycoprotein,1273,Chile,2020-04-30,2020,4,30
QPV04478,B.1,ORF3a protein,275,Chile,2020-04-30,2020,4,30
QPV04479,B.1,envelope protein,75,Chile,2020-04-30,2020,4,30
QPV04480,B.1,membrane glycoprotein,222,Chile,2020-04-30,2020,4,30
QPV04481,B.1,ORF6 protein,61,Chile,2020-04-30,2020,4,30
QPV04482,B.1,ORF7a protein,121,Chile,2020-04-30,2020,4,30
QPV04483,B.1,ORF7b protein,43,Chile,2020-04-30,2020,4,30
QPV04484,B.1,ORF8 protein,121,Chile,2020-04-30,2020,4,30
QPV04485,B.1,nucleocapsid phosphoprotein,419,Chile,2020-04-30,2020,4,30
QPV04486,B.1,ORF10 protein,38,Chile,2020-04-30,2020,4,30
QPV04487,B.1.110,ORF1ab polyprotein,7096,Chile,2020-04-04,2020,4,4
QPV04488,B.1.110,ORF1a polyprotein,4405,Chile,2020-04-04,2020,4,4
QPV04489,B.1.110,surface glycoprotein,1273,Chile,2020-04-04,2020,4,4
QPV04490,B.1.110,ORF3a protein,275,Chile,2020-04-04,2020,4,4
QPV04491,B.1.110,envelope protein,75,Chile,2020-04-04,2020,4,4
QPV04492,B.1.110,membrane glycoprotein,222,Chile,2020-04-04,2020,4,4
QPV04493,B.1.110,ORF6 protein,61,Chile,2020-04-04,2020,4,4
QPV04494,B.1.110,ORF7a protein,121,Chile,2020-04-04,2020,4,4
QPV04495,B.1.110,ORF7b protein,43,Chile,2020-04-04,2020,4,4
QPV04496,B.1.110,ORF8 protein,121,Chile,2020-04-04,2020,4,4
QPV04497,B.1.110,nucleocapsid phosphoprotein,419,Chile,2020-04-04,2020,4,4
QPV04498,B.1.110,ORF10 protein,38,Chile,2020-04-04,2020,4,4
QPV04607,B.1.1.33,ORF1ab polyprotein,7096,Chile,2020-04-06,2020,4,6
QPV04608,B.1.1.33,ORF1a polyprotein,4405,Chile,2020-04-06,2020,4,6
QPV04609,B.1.1.33,surface glycoprotein,1273,Chile,2020-04-06,2020,4,6
QPV04610,B.1.1.33,ORF3a protein,275,Chile,2020-04-06,2020,4,6
QPV04611,B.1.1.33,envelope protein,75,Chile,2020-04-06,2020,4,6
QPV04612,B.1.1.33,membrane glycoprotein,222,Chile,2020-04-06,2020,4,6
QPV04613,B.1.1.33,ORF6 protein,61,Chile,2020-04-06,2020,4,6
QPV04614,B.1.1.33,ORF7a protein,121,Chile,2020-04-06,2020,4,6
QPV04615,B.1.1.33,ORF7b protein,43,Chile,2020-04-06,2020,4,6
QPV04616,B.1.1.33,ORF8 protein,121,Chile,2020-04-06,2020,4,6
QPV04617,B.1.1.33,nucleocapsid phosphoprotein,419,Chile,2020-04-06,2020,4,6
QPV04618,B.1.1.33,ORF10 protein,38,Chile,2020-04-06,2020,4,6
QPV06101,B.1.1.33,ORF1ab polyprotein,7096,Chile,2020-05-13,2020,5,13
QPV06102,B.1.1.33,ORF1a polyprotein,4405,Chile,2020-05-13,2020,5,13
QPV06103,B.1.1.33,surface glycoprotein,1273,Chile,2020-05-13,2020,5,13
QPV06104,B.1.1.33,ORF3a protein,275,Chile,2020-05-13,2020,5,13
QPV06105,B.1.1.33,envelope protein,75,Chile,2020-05-13,2020,5,13
QPV06106,B.1.1.33,membrane glycoprotein,222,Chile,2020-05-13,2020,5,13
QPV06107,B.1.1.33,ORF6 protein,61,Chile,2020-05-13,2020,5,13
QPV06108,B.1.1.33,ORF7a protein,121,Chile,2020-05-13,2020,5,13
QPV06109,B.1.1.33,ORF7b protein,43,Chile,2020-05-13,2020,5,13
QPV06110,B.1.1.33,ORF8 protein,121,Chile,2020-05-13,2020,5,13
QPV06111,B.1.1.33,nucleocapsid phosphoprotein,419,Chile,2020-05-13,2020,5,13
QPV06112,B.1.1.33,ORF10 protein,38,Chile,2020-05-13,2020,5,13
QPV06133,N.6,ORF1ab polyprotein,7096,Chile,2020-05-12,2020,5,12
QPV06134,N.6,ORF1a polyprotein,4405,Chile,2020-05-12,2020,5,12
QPV06135,N.6,surface glycoprotein,1273,Chile,2020-05-12,2020,5,12
QPV06136,N.6,ORF3a protein,275,Chile,2020-05-12,2020,5,12
QPV06137,N.6,envelope protein,75,Chile,2020-05-12,2020,5,12
QPV06138,N.6,membrane glycoprotein,222,Chile,2020-05-12,2020,5,12
QPV06139,N.6,ORF6 protein,61,Chile,2020-05-12,2020,5,12
QPV06140,N.6,ORF7a protein,121,Chile,2020-05-12,2020,5,12
QPV06141,N.6,ORF7b protein,43,Chile,2020-05-12,2020,5,12
QPV06142,N.6,ORF8 protein,121,Chile,2020-05-12,2020,5,12
QPV06143,N.6,nucleocapsid phosphoprotein,419,Chile,2020-05-12,2020,5,12
QPV06144,N.6,ORF10 protein,38,Chile,2020-05-12,2020,5,12
QPV06166,B.1.1,ORF1ab polyprotein,7096,Chile,2020-05-12,2020,5,12
QPV06167,B.1.1,ORF1a polyprotein,4405,Chile,2020-05-12,2020,5,12
QPV06168,B.1.1,surface glycoprotein,1273,Chile,2020-05-12,2020,5,12
QPV06169,B.1.1,ORF3a protein,275,Chile,2020-05-12,2020,5,12
QPV06170,B.1.1,envelope protein,75,Chile,2020-05-12,2020,5,12
QPV06171,B.1.1,membrane glycoprotein,222,Chile,2020-05-12,2020,5,12
QPV06172,B.1.1,ORF6 protein,61,Chile,2020-05-12,2020,5,12
QPV06173,B.1.1,ORF7a protein,121,Chile,2020-05-12,2020,5,12
QPV06174,B.1.1,ORF7b protein,43,Chile,2020-05-12,2020,5,12
QPV06175,B.1.1,ORF8 protein,121,Chile,2020-05-12,2020,5,12
QPV06176,B.1.1,nucleocapsid phosphoprotein,419,Chile,2020-05-12,2020,5,12
QPV06177,B.1.1,ORF10 protein,38,Chile,2020-05-12,2020,5,12
QPV06281,B.1.110,ORF1ab polyprotein,7096,Chile,2020-05-13,2020,5,13
QPV06282,B.1.110,ORF1a polyprotein,4405,Chile,2020-05-13,2020,5,13
QPV06283,B.1.110,surface glycoprotein,1273,Chile,2020-05-13,2020,5,13
QPV06284,B.1.110,ORF3a protein,275,Chile,2020-05-13,2020,5,13
QPV06285,B.1.110,envelope protein,75,Chile,2020-05-13,2020,5,13
QPV06286,B.1.110,membrane glycoprotein,222,Chile,2020-05-13,2020,5,13
QPV06287,B.1.110,ORF6 protein,61,Chile,2020-05-13,2020,5,13
QPV06288,B.1.110,ORF7a protein,121,Chile,2020-05-13,2020,5,13
QPV06289,B.1.110,ORF7b protein,43,Chile,2020-05-13,2020,5,13
QPV06290,B.1.110,ORF8 protein,121,Chile,2020-05-13,2020,5,13
QPV06291,B.1.110,nucleocapsid phosphoprotein,419,Chile,2020-05-13,2020,5,13
QPV06292,B.1.110,ORF10 protein,38,Chile,2020-05-13,2020,5,13
QPV06418,N.4,ORF1ab polyprotein,7096,Chile,2020-05-12,2020,5,12
QPV06419,N.4,ORF1a polyprotein,4405,Chile,2020-05-12,2020,5,12
QPV06420,N.4,surface glycoprotein,1273,Chile,2020-05-12,2020,5,12
QPV06421,N.4,ORF3a protein,275,Chile,2020-05-12,2020,5,12
QPV06422,N.4,envelope protein,75,Chile,2020-05-12,2020,5,12
QPV06423,N.4,membrane glycoprotein,222,Chile,2020-05-12,2020,5,12
QPV06424,N.4,ORF6 protein,61,Chile,2020-05-12,2020,5,12
QPV06425,N.4,ORF7a protein,121,Chile,2020-05-12,2020,5,12
QPV06426,N.4,ORF7b protein,43,Chile,2020-05-12,2020,5,12
QPV06427,N.4,ORF8 protein,121,Chile,2020-05-12,2020,5,12
QPV06428,N.4,nucleocapsid phosphoprotein,419,Chile,2020-05-12,2020,5,12
QPV06429,N.4,ORF10 protein,38,Chile,2020-05-12,2020,5,12
QPV06486,C.26,ORF1ab polyprotein,7096,Chile,2020-05-12,2020,5,12
QPV06487,C.26,ORF1a polyprotein,4405,Chile,2020-05-12,2020,5,12
QPV06488,C.26,surface glycoprotein,1273,Chile,2020-05-12,2020,5,12
QPV06489,C.26,ORF3a protein,275,Chile,2020-05-12,2020,5,12
QPV06490,C.26,envelope protein,75,Chile,2020-05-12,2020,5,12
QPV06491,C.26,membrane glycoprotein,222,Chile,2020-05-12,2020,5,12
QPV06492,C.26,ORF6 protein,61,Chile,2020-05-12,2020,5,12
QPV06493,C.26,ORF7a protein,121,Chile,2020-05-12,2020,5,12
QPV06494,C.26,ORF7b protein,43,Chile,2020-05-12,2020,5,12
QPV06495,C.26,ORF8 protein,121,Chile,2020-05-12,2020,5,12
QPV06496,C.26,nucleocapsid phosphoprotein,419,Chile,2020-05-12,2020,5,12
QPV06497,C.26,ORF10 protein,38,Chile,2020-05-12,2020,5,12
QPV06801,B.1.199,ORF1ab polyprotein,7096,Chile,2020-05-12,2020,5,12
QPV06802,B.1.199,ORF1a polyprotein,4405,Chile,2020-05-12,2020,5,12
QPV06803,B.1.199,surface glycoprotein,1273,Chile,2020-05-12,2020,5,12
QPV06804,B.1.199,ORF3a protein,275,Chile,2020-05-12,2020,5,12
QPV06805,B.1.199,envelope protein,75,Chile,2020-05-12,2020,5,12
QPV06806,B.1.199,membrane glycoprotein,222,Chile,2020-05-12,2020,5,12
QPV06807,B.1.199,ORF6 protein,61,Chile,2020-05-12,2020,5,12
QPV06808,B.1.199,ORF7a protein,121,Chile,2020-05-12,2020,5,12
QPV06809,B.1.199,ORF7b protein,43,Chile,2020-05-12,2020,5,12
QPV06810,B.1.199,ORF8 protein,121,Chile,2020-05-12,2020,5,12
QPV06811,B.1.199,nucleocapsid phosphoprotein,419,Chile,2020-05-12,2020,5,12
QPV06812,B.1.199,ORF10 protein,38,Chile,2020-05-12,2020,5,12
QPV15129,N.6,ORF1ab polyprotein,7096,Chile,2020-04-30,2020,4,30
QPV15130,N.6,ORF1a polyprotein,4405,Chile,2020-04-30,2020,4,30
QPV15131,N.6,surface glycoprotein,1273,Chile,2020-04-30,2020,4,30
QPV15132,N.6,ORF3a protein,275,Chile,2020-04-30,2020,4,30
QPV15133,N.6,envelope protein,75,Chile,2020-04-30,2020,4,30
QPV15134,N.6,membrane glycoprotein,222,Chile,2020-04-30,2020,4,30
QPV15135,N.6,ORF6 protein,61,Chile,2020-04-30,2020,4,30
QPV15136,N.6,ORF7a protein,121,Chile,2020-04-30,2020,4,30
QPV15137,N.6,ORF7b protein,43,Chile,2020-04-30,2020,4,30
QPV15138,N.6,ORF8 protein,121,Chile,2020-04-30,2020,4,30
QPV15139,N.6,nucleocapsid phosphoprotein,419,Chile,2020-04-30,2020,4,30
QPV15140,N.6,ORF10 protein,38,Chile,2020-04-30,2020,4,30
QPV15549,B.1.1,ORF1ab polyprotein,7096,Chile,2020-03-30,2020,3,30
QPV15550,B.1.1,ORF1a polyprotein,4405,Chile,2020-03-30,2020,3,30
QPV15551,B.1.1,surface glycoprotein,1273,Chile,2020-03-30,2020,3,30
QPV15552,B.1.1,ORF3a protein,275,Chile,2020-03-30,2020,3,30
QPV15553,B.1.1,envelope protein,75,Chile,2020-03-30,2020,3,30
QPV15554,B.1.1,membrane glycoprotein,222,Chile,2020-03-30,2020,3,30
QPV15555,B.1.1,ORF6 protein,61,Chile,2020-03-30,2020,3,30
QPV15556,B.1.1,ORF7a protein,121,Chile,2020-03-30,2020,3,30
QPV15557,B.1.1,ORF7b protein,43,Chile,2020-03-30,2020,3,30
QPV15558,B.1.1,ORF8 protein,121,Chile,2020-03-30,2020,3,30
QPV15559,B.1.1,nucleocapsid phosphoprotein,419,Chile,2020-03-30,2020,3,30
QPV15560,B.1.1,ORF10 protein,38,Chile,2020-03-30,2020,3,30
QPV15717,B.1,ORF1ab polyprotein,7096,Chile,2020-03-31,2020,3,31
QPV15718,B.1,ORF1a polyprotein,4405,Chile,2020-03-31,2020,3,31
QPV15719,B.1,surface glycoprotein,1273,Chile,2020-03-31,2020,3,31
QPV15720,B.1,ORF3a protein,275,Chile,2020-03-31,2020,3,31
QPV15721,B.1,envelope protein,75,Chile,2020-03-31,2020,3,31
QPV15722,B.1,membrane glycoprotein,222,Chile,2020-03-31,2020,3,31
QPV15723,B.1,ORF6 protein,61,Chile,2020-03-31,2020,3,31
QPV15724,B.1,ORF7a protein,121,Chile,2020-03-31,2020,3,31
QPV15725,B.1,ORF7b protein,43,Chile,2020-03-31,2020,3,31
QPV15726,B.1,ORF8 protein,121,Chile,2020-03-31,2020,3,31
QPV15727,B.1,nucleocapsid phosphoprotein,419,Chile,2020-03-31,2020,3,31
QPV15728,B.1,ORF10 protein,38,Chile,2020-03-31,2020,3,31
QPV15789,B.1.1.33,ORF1ab polyprotein,7096,Chile,2020-03-30,2020,3,30
QPV15790,B.1.1.33,ORF1a polyprotein,4405,Chile,2020-03-30,2020,3,30
QPV15791,B.1.1.33,surface glycoprotein,1273,Chile,2020-03-30,2020,3,30
QPV15792,B.1.1.33,ORF3a protein,275,Chile,2020-03-30,2020,3,30
QPV15793,B.1.1.33,envelope protein,75,Chile,2020-03-30,2020,3,30
QPV15794,B.1.1.33,membrane glycoprotein,222,Chile,2020-03-30,2020,3,30
QPV15795,B.1.1.33,ORF6 protein,61,Chile,2020-03-30,2020,3,30
QPV15796,B.1.1.33,ORF7a protein,121,Chile,2020-03-30,2020,3,30
QPV15797,B.1.1.33,ORF7b protein,43,Chile,2020-03-30,2020,3,30
QPV15798,B.1.1.33,ORF8 protein,121,Chile,2020-03-30,2020,3,30
QPV15799,B.1.1.33,nucleocapsid phosphoprotein,419,Chile,2020-03-30,2020,3,30
QPV15800,B.1.1.33,ORF10 protein,38,Chile,2020-03-30,2020,3,30
QPV20615,B.1.321,ORF1ab polyprotein,7096,Chile,2020-03-20,2020,3,20
QPV20616,B.1.321,ORF1a polyprotein,4405,Chile,2020-03-20,2020,3,20
QPV20617,B.1.321,surface glycoprotein,1273,Chile,2020-03-20,2020,3,20
QPV20618,B.1.321,ORF3a protein,275,Chile,2020-03-20,2020,3,20
QPV20619,B.1.321,envelope protein,75,Chile,2020-03-20,2020,3,20
QPV20620,B.1.321,membrane glycoprotein,222,Chile,2020-03-20,2020,3,20
QPV20621,B.1.321,ORF6 protein,61,Chile,2020-03-20,2020,3,20
QPV20622,B.1.321,ORF7a protein,121,Chile,2020-03-20,2020,3,20
QPV20623,B.1.321,ORF7b protein,43,Chile,2020-03-20,2020,3,20
QPV20624,B.1.321,ORF8 protein,121,Chile,2020-03-20,2020,3,20
QPV20625,B.1.321,nucleocapsid phosphoprotein,419,Chile,2020-03-20,2020,3,20
QPV20626,B.1.321,ORF10 protein,38,Chile,2020-03-20,2020,3,20
QPV20656,A.2,ORF1ab polyprotein,7096,Chile,2020-03-19,2020,3,19
QPV20657,A.2,ORF1a polyprotein,4405,Chile,2020-03-19,2020,3,19
QPV20658,A.2,surface glycoprotein,1273,Chile,2020-03-19,2020,3,19
QPV20659,A.2,ORF3a protein,275,Chile,2020-03-19,2020,3,19
QPV20660,A.2,envelope protein,75,Chile,2020-03-19,2020,3,19
QPV20661,A.2,membrane glycoprotein,222,Chile,2020-03-19,2020,3,19
QPV20662,A.2,ORF6 protein,61,Chile,2020-03-19,2020,3,19
QPV20663,A.2,ORF7a protein,121,Chile,2020-03-19,2020,3,19
QPV20664,A.2,ORF7b protein,43,Chile,2020-03-19,2020,3,19
QPV20665,A.2,ORF8 protein,121,Chile,2020-03-19,2020,3,19
QPV20666,A.2,nucleocapsid phosphoprotein,419,Chile,2020-03-19,2020,3,19
QPV20667,A.2,ORF10 protein,38,Chile,2020-03-19,2020,3,19
QPV41910,B.1.110.1,ORF1ab polyprotein,7096,Chile,2020-03-18,2020,3,18
QPV41911,B.1.110.1,ORF1a polyprotein,4405,Chile,2020-03-18,2020,3,18
QPV41912,B.1.110.1,surface glycoprotein,1273,Chile,2020-03-18,2020,3,18
QPV41913,B.1.110.1,ORF3a protein,275,Chile,2020-03-18,2020,3,18
QPV41914,B.1.110.1,envelope protein,75,Chile,2020-03-18,2020,3,18
QPV41915,B.1.110.1,membrane glycoprotein,222,Chile,2020-03-18,2020,3,18
QPV41916,B.1.110.1,ORF6 protein,61,Chile,2020-03-18,2020,3,18
QPV41917,B.1.110.1,ORF7a protein,121,Chile,2020-03-18,2020,3,18
QPV41918,B.1.110.1,ORF7b protein,43,Chile,2020-03-18,2020,3,18
QPV41919,B.1.110.1,ORF8 protein,121,Chile,2020-03-18,2020,3,18
QPV41920,B.1.110.1,nucleocapsid phosphoprotein,419,Chile,2020-03-18,2020,3,18
QPV41921,B.1.110.1,ORF10 protein,38,Chile,2020-03-18,2020,3,18
QPV41934,B.31,ORF1ab polyprotein,7096,Chile,2020-03-18,2020,3,18
QPV41935,B.31,ORF1a polyprotein,4405,Chile,2020-03-18,2020,3,18
QPV41936,B.31,surface glycoprotein,1273,Chile,2020-03-18,2020,3,18
QPV41937,B.31,ORF3a protein,275,Chile,2020-03-18,2020,3,18
QPV41938,B.31,envelope protein,75,Chile,2020-03-18,2020,3,18
QPV41939,B.31,membrane glycoprotein,222,Chile,2020-03-18,2020,3,18
QPV41940,B.31,ORF6 protein,61,Chile,2020-03-18,2020,3,18
QPV41941,B.31,ORF7a protein,119,Chile,2020-03-18,2020,3,18
QPV41942,B.31,ORF7b protein,43,Chile,2020-03-18,2020,3,18
QPV41943,B.31,ORF8 protein,121,Chile,2020-03-18,2020,3,18
QPV41944,B.31,nucleocapsid phosphoprotein,419,Chile,2020-03-18,2020,3,18
QPV41945,B.31,ORF10 protein,38,Chile,2020-03-18,2020,3,18
QPV41994,N.4,ORF1ab polyprotein,7096,Chile,2020-04-28,2020,4,28
QPV41995,N.4,ORF1a polyprotein,4405,Chile,2020-04-28,2020,4,28
QPV41996,N.4,surface glycoprotein,1273,Chile,2020-04-28,2020,4,28
QPV41997,N.4,ORF3a protein,275,Chile,2020-04-28,2020,4,28
QPV41998,N.4,envelope protein,75,Chile,2020-04-28,2020,4,28
QPV41999,N.4,membrane glycoprotein,222,Chile,2020-04-28,2020,4,28
QPV42000,N.4,ORF6 protein,61,Chile,2020-04-28,2020,4,28
QPV42001,N.4,ORF7a protein,121,Chile,2020-04-28,2020,4,28
QPV42002,N.4,ORF7b protein,43,Chile,2020-04-28,2020,4,28
QPV42003,N.4,ORF8 protein,121,Chile,2020-04-28,2020,4,28
QPV42004,N.4,nucleocapsid phosphoprotein,419,Chile,2020-04-28,2020,4,28
QPV42005,N.4,ORF10 protein,38,Chile,2020-04-28,2020,4,28
QKY74808,A,ORF1ab polyprotein,7096,Chile,2020-03-12,2020,3,12
QKY74809,A,ORF1a polyprotein,4405,Chile,2020-03-12,2020,3,12
QKY74810,A,surface glycoprotein,1273,Chile,2020-03-12,2020,3,12
QKY74811,A,ORF3a protein,275,Chile,2020-03-12,2020,3,12
QKY74812,A,envelope protein,75,Chile,2020-03-12,2020,3,12
QKY74813,A,membrane glycoprotein,222,Chile,2020-03-12,2020,3,12
QKY74814,A,ORF6 protein,61,Chile,2020-03-12,2020,3,12
QKY74815,A,ORF7a protein,121,Chile,2020-03-12,2020,3,12
QKY74816,A,ORF7b protein,43,Chile,2020-03-12,2020,3,12
QKY74817,A,ORF8 protein,121,Chile,2020-03-12,2020,3,12
QKY74818,A,nucleocapsid phosphoprotein,419,Chile,2020-03-12,2020,3,12
QKY74819,A,ORF10 protein,38,Chile,2020-03-12,2020,3,12
QKY74880,B.1.111,ORF1ab polyprotein,7096,Chile,2020-03-21,2020,3,21
QKY74881,B.1.111,ORF1a polyprotein,4405,Chile,2020-03-21,2020,3,21
QKY74882,B.1.111,surface glycoprotein,1273,Chile,2020-03-21,2020,3,21
QKY74883,B.1.111,ORF3a protein,275,Chile,2020-03-21,2020,3,21
QKY74884,B.1.111,envelope protein,75,Chile,2020-03-21,2020,3,21
QKY74885,B.1.111,membrane glycoprotein,222,Chile,2020-03-21,2020,3,21
QKY74886,B.1.111,ORF6 protein,61,Chile,2020-03-21,2020,3,21
QKY74887,B.1.111,ORF7a protein,121,Chile,2020-03-21,2020,3,21
QKY74888,B.1.111,ORF7b protein,43,Chile,2020-03-21,2020,3,21
QKY74889,B.1.111,ORF8 protein,121,Chile,2020-03-21,2020,3,21
QKY74890,B.1.111,nucleocapsid phosphoprotein,419,Chile,2020-03-21,2020,3,21
QKY74891,B.1.111,ORF10 protein,38,Chile,2020-03-21,2020,3,21
UVB12548,BA.1.15,ORF1ab polyprotein,7092,Canada,2022-01-10,2022,1,10
UVB12549,BA.1.15,ORF1a polyprotein,4401,Canada,2022-01-10,2022,1,10
UVB12550,BA.1.15,surface glycoprotein,1270,Canada,2022-01-10,2022,1,10
UVB12551,BA.1.15,ORF3a protein,275,Canada,2022-01-10,2022,1,10
UVB12552,BA.1.15,envelope protein,75,Canada,2022-01-10,2022,1,10
UVB12553,BA.1.15,membrane glycoprotein,222,Canada,2022-01-10,2022,1,10
UVB12554,BA.1.15,ORF6 protein,61,Canada,2022-01-10,2022,1,10
UVB12555,BA.1.15,ORF7a protein,121,Canada,2022-01-10,2022,1,10
UVB12556,BA.1.15,ORF7b protein,43,Canada,2022-01-10,2022,1,10
UVB12557,BA.1.15,ORF8 protein,121,Canada,2022-01-10,2022,1,10
UVB12558,BA.1.15,nucleocapsid phosphoprotein,416,Canada,2022-01-10,2022,1,10
UVB12559,BA.1.15,ORF10 protein,38,Canada,2022-01-10,2022,1,10
UNS25731,B.1.1,ORF1ab polyprotein,7096,Canada,2021-02-05,2021,2,5
UNS25732,B.1.1,ORF1a polyprotein,4405,Canada,2021-02-05,2021,2,5
UNS25733,B.1.1,surface glycoprotein,1273,Canada,2021-02-05,2021,2,5
UNS25734,B.1.1,ORF3a protein,275,Canada,2021-02-05,2021,2,5
UNS25735,B.1.1,envelope protein,75,Canada,2021-02-05,2021,2,5
UNS25736,B.1.1,membrane glycoprotein,222,Canada,2021-02-05,2021,2,5
UNS25737,B.1.1,ORF6 protein,61,Canada,2021-02-05,2021,2,5
UNS25738,B.1.1,ORF7a protein,121,Canada,2021-02-05,2021,2,5
UNS25739,B.1.1,ORF7b protein,43,Canada,2021-02-05,2021,2,5
UNS25740,B.1.1,ORF8 protein,121,Canada,2021-02-05,2021,2,5
UNS25741,B.1.1,nucleocapsid phosphoprotein,419,Canada,2021-02-05,2021,2,5
UNS25742,B.1.1,ORF10 protein,38,Canada,2021-02-05,2021,2,5
UNS25743,B.1.1,ORF1ab polyprotein,7096,Canada,2020-11-23,2020,11,23
UNS25744,B.1.1,ORF1a polyprotein,4405,Canada,2020-11-23,2020,11,23
UNS25745,B.1.1,surface glycoprotein,1273,Canada,2020-11-23,2020,11,23
UNS25746,B.1.1,ORF3a protein,275,Canada,2020-11-23,2020,11,23
UNS25747,B.1.1,envelope protein,75,Canada,2020-11-23,2020,11,23
UNS25748,B.1.1,membrane glycoprotein,222,Canada,2020-11-23,2020,11,23
UNS25749,B.1.1,ORF6 protein,61,Canada,2020-11-23,2020,11,23
UNS25750,B.1.1,ORF7a protein,121,Canada,2020-11-23,2020,11,23
UNS25751,B.1.1,ORF7b protein,43,Canada,2020-11-23,2020,11,23
UNS25752,B.1.1,ORF8 protein,121,Canada,2020-11-23,2020,11,23
UNS25753,B.1.1,nucleocapsid phosphoprotein,419,Canada,2020-11-23,2020,11,23
UNS25754,B.1.1,ORF10 protein,38,Canada,2020-11-23,2020,11,23
UOW96773,BA.2,ORF1ab polyprotein,7093,Canada,2022-03-17,2022,3,17
UOW96774,BA.2,ORF1a polyprotein,4402,Canada,2022-03-17,2022,3,17
UOW96775,BA.2,surface glycoprotein,1270,Canada,2022-03-17,2022,3,17
UOW96776,BA.2,ORF3a protein,275,Canada,2022-03-17,2022,3,17
UOW96777,BA.2,envelope protein,75,Canada,2022-03-17,2022,3,17
UOW96778,BA.2,membrane glycoprotein,222,Canada,2022-03-17,2022,3,17
UOW96779,BA.2,ORF6 protein,61,Canada,2022-03-17,2022,3,17
UOW96780,BA.2,ORF7a protein,120,Canada,2022-03-17,2022,3,17
UOW96781,BA.2,ORF7b protein,43,Canada,2022-03-17,2022,3,17
UOW96782,BA.2,ORF8 protein,121,Canada,2022-03-17,2022,3,17
UOW96783,BA.2,nucleocapsid phosphoprotein,416,Canada,2022-03-17,2022,3,17
UOW96784,BA.2,ORF10 protein,38,Canada,2022-03-17,2022,3,17
UKM30659,B.1.160,ORF1ab polyprotein,7096,Canada,2020-12-04,2020,12,4
UKM30660,B.1.160,ORF1a polyprotein,4405,Canada,2020-12-04,2020,12,4
UKM30661,B.1.160,surface glycoprotein,1273,Canada,2020-12-04,2020,12,4
UKM30662,B.1.160,ORF3a protein,275,Canada,2020-12-04,2020,12,4
UKM30663,B.1.160,envelope protein,75,Canada,2020-12-04,2020,12,4
UKM30664,B.1.160,membrane glycoprotein,222,Canada,2020-12-04,2020,12,4
UKM30665,B.1.160,ORF6 protein,61,Canada,2020-12-04,2020,12,4
UKM30666,B.1.160,ORF7a protein,121,Canada,2020-12-04,2020,12,4
UKM30667,B.1.160,ORF7b protein,43,Canada,2020-12-04,2020,12,4
